,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s]
2,hpso02b,65000.0,256.0,18000000.0,5.0,0.1584152354907022,0.2213072250211314,0.09872076649684779,1.1690606438192603,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.47844322700868136,4.03542794940141,4.513871176410092,0.11497985365333332,32768.0,,
3,hpso04a,65000.0,256.0,45900000.0,0.6666666666666666,0.0792076177453511,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.17450497575574486,0.0005008800000000091,0.17500585575574487,0.05748992682666666,32768.0,0.00050088,
4,hpso05a,65000.0,256.0,15480000.0,0.6666666666666666,0.0792076177453511,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.17450497575574486,2.7550000000764463e-07,0.17450525125574487,0.05748992682666666,32768.0,,2.755e-07
0,hpso01,65000.0,256.0,18000000.0,5.0,0.3167999838981689,0.2213072250211314,0.09872076649684779,2.03061810532869,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.6368279754161481,4.89698541091084,5.5338133863269885,0.22995970730666665,65536.0,,
1,hpso02a,65000.0,256.0,18000000.0,5.0,0.3167999838981689,0.2213072250211314,0.09872076649684779,1.1690606438192603,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.6368279754161481,4.03542794940141,4.672255924817558,0.22995970730666665,65536.0,,
2,hpso02b,65000.0,256.0,18000000.0,5.0,0.3167999838981689,0.2213072250211314,0.09872076649684779,1.1690606438192603,0.6246926756486769,0.6992366137262632,1.4673996907684788,0.07503832543873157,0.6368279754161481,4.03542794940141,4.672255924817558,0.22995970730666665,65536.0,,
3,hpso04a,65000.0,256.0,45900000.0,0.6666666666666666,0.15839999194908444,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.25369734995947824,0.0005008799999999813,0.2541982299594782,0.11497985365333332,65536.0,0.00050088,
4,hpso05a,65000.0,256.0,15480000.0,0.6666666666666666,0.15839999194908444,0.06481600857783025,0.03048134943256353,0.0,0.0,0.0,0.0,0.0,0.25369734995947824,2.7549999997988905e-07,0.2536976254594782,0.11497985365333332,65536.0,,2.755e-07
0,hpso01,65000.0,512.0,18000000.0,5.0,0.3162748794925511,0.5340131336162592,0.3302983281434025,4.897271665226299,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,1.1805863412522128,14.534048181622813,15.714634522875025,0.22951231488,16384.0,,
1,hpso02a,65000.0,512.0,18000000.0,5.0,0.3162748794925511,0.5340131336162592,0.3302983281434025,3.780659778676527,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,1.1805863412522128,13.41743629507304,14.598022636325252,0.22951231488,16384.0,,
2,hpso02b,65000.0,512.0,18000000.0,5.0,0.3162748794925511,0.5340131336162592,0.3302983281434025,3.780659778676527,2.3541660129512665,2.503983537367972,4.518974606349488,0.25965235972778666,1.1805863412522128,13.41743629507304,14.598022636325252,0.22951231488,16384.0,,
3,hpso04a,65000.0,512.0,45900000.0,0.6666666666666666,0.15813743974627556,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.4910975597186519,0.0005008799999999813,0.49159843971865186,0.11475615744,16384.0,0.00050088,
4,hpso05a,65000.0,512.0,15480000.0,0.6666666666666666,0.15813743974627556,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.4910975597186519,2.7549999997988905e-07,0.49109783521865186,0.11475615744,16384.0,,2.755e-07
0,hpso01,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,6.878779923892501,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,17.157455660761382,18.91862123663922,0.45902462976,32768.0,,
1,hpso02a,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,14.293013920756847,16.054179496634685,0.45902462976,32768.0,,
2,hpso02b,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,14.293013920756847,16.054179496634685,0.45902462976,32768.0,,
3,hpso04a,65000.0,512.0,45900000.0,0.6666666666666666,0.31621404661987557,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.6491741665922519,0.0005008800000000369,0.649675046592252,0.22951231488,32768.0,0.00050088,
4,hpso05a,65000.0,512.0,15480000.0,0.6666666666666666,0.31621404661987557,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.6491741665922519,2.755000000354002e-07,0.649174442092252,0.22951231488,32768.0,,2.755e-07
0,hpso01,65000.0,512.0,18000000.0,5.0,1.264734520734151,0.7480448678218885,0.380692614816198,6.878779923892501,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,2.3934720033722376,17.157455660761382,19.55092766413362,0.91804925952,65536.0,,
1,hpso02a,65000.0,512.0,18000000.0,5.0,1.264734520734151,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,2.3934720033722376,14.293013920756849,16.686485924129087,0.91804925952,65536.0,,
2,hpso02b,65000.0,512.0,18000000.0,5.0,1.264734520734151,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,2.3934720033722376,14.293013920756849,16.686485924129087,0.91804925952,65536.0,,
3,hpso04a,65000.0,512.0,45900000.0,0.6666666666666666,0.6323672603670755,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.9653273803394518,0.0005008800000000369,0.9658282603394518,0.45902462976,65536.0,0.00050088,
4,hpso05a,65000.0,512.0,15480000.0,0.6666666666666666,0.6323672603670755,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.9653273803394518,2.755000000354002e-07,0.9653276558394518,0.45902462976,65536.0,,2.755e-07
